"GEOID","king_county","RPL_THEMES_QUARTILE_WA","RPL_THEMES_QUARTILE_KC","PED3_16_20","PFAMINCGE125K16_20","PPROF16_20","AFFLUENCE16_20_armcreate","affluence_quartile_WA","affluence_quartile_KC","perc_burden_gte30_quartile_WA","perc_burden_gte30_quartile_KC","perc_renter_quartile_WA","perc_renter_quartile_KC","perc_lt150poverty_quartile_WA","perc_lt150poverty_quartile_KC","medianincome_quartile_WA","medianincome_quartile_KC","perc_unemployed_quartile_WA","perc_unemployed_quartile_KC","perc_novehicle_quartile_WA","perc_novehicle_quartile_KC"
53011041113,FALSE,4,NA,0.1745325028896,0.0251716244966,0.1576492488384,0.119117792074867,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,2,NA
53011041114,FALSE,3,NA,0.2474717497826,0.0798065289855,0.1994708925486,0.175583057105567,4,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA
53011041203,FALSE,4,NA,0.1962004601955,0.1647540926933,0.2315360158682,0.197496856252333,4,NA,4,NA,4,NA,4,NA,3,NA,2,NA,3,NA
53011041205,FALSE,4,NA,0.2875610589981,0.2441093325615,0.3438511192799,0.291840503613167,3,NA,4,NA,4,NA,4,NA,3,NA,1,NA,3,NA
53011041206,FALSE,4,NA,0.2173912972212,0.1074642688036,0.4210110604763,0.2486222088337,3,NA,3,NA,4,NA,4,NA,4,NA,4,NA,1,NA
53011041207,FALSE,4,NA,0.2180505394936,0.0407470315695,0.2798076868057,0.179535085956267,4,NA,4,NA,4,NA,4,NA,3,NA,2,NA,3,NA
53011041208,FALSE,1,NA,0.442755818367,0.3058305978775,0.4943027794361,0.4142963985602,2,NA,3,NA,2,NA,2,NA,2,NA,1,NA,2,NA
53011041309,FALSE,4,NA,0.3627881407738,0.3049759268761,0.3706377744675,0.346133947372467,2,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA
53011041310,FALSE,3,NA,0.4061689972878,0.2735042870045,0.5624169707298,0.414030085007367,2,NA,3,NA,3,NA,3,NA,2,NA,2,NA,4,NA
53011041312,FALSE,4,NA,0.2078897953033,0.0930420681834,0.2919329106808,0.197621591389167,4,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA
53011041313,FALSE,4,NA,0.1060070693493,0.0393835604191,0.1648589968681,0.103416542212167,4,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA
