"GEOID","king_county","RPL_THEMES","RPL_THEMES_USA","RPL_THEMES_QUARTILE_WA","RPL_THEMES_QUARTILE_KC","AFFLUENCE16_20","PED3_16_20","PFAMINCGE125K16_20","PPROF16_20","AFFLUENCE16_20_armcreate","affluence_quartile_WA","affluence_quartile_KC","perc_burden_gte30","perc_burden_gte30_quartile_WA","perc_burden_gte30_quartile_KC","perc_renter","perc_renter_quartile_WA","perc_renter_quartile_KC","perc_lt150poverty","perc_lt150poverty_quartile_WA","perc_lt150poverty_quartile_KC","medianincome","medianincome_quartile_WA","medianincome_quartile_KC","perc_unemployed","perc_unemployed_quartile_WA","perc_unemployed_quartile_KC","perc_novehicle","perc_novehicle_quartile_WA","perc_novehicle_quartile_KC"
53045961200,FALSE,0.2732,0.2306,2,NA,0.2471299320459,0.2509652376175,0.201680675149,0.2887438833714,0.247129932045967,3,NA,22.6612434631028,1,NA,17.9475587703436,2,NA,14.1818181818182,2,NA,35723,3,NA,11.7985611510791,4,NA,1.0459035444509,1,NA
53045961300,FALSE,0.6239,0.5782,3,NA,0.2114969491959,0.137368246913,0.2139999866486,0.2831225991249,0.211496944228833,4,NA,23.5523747560182,1,NA,26.2159273115981,2,NA,17.1933583288698,3,NA,33019,3,NA,3.24468085106383,2,NA,5.98568640208198,3,NA
53047940100,FALSE,0.9152,0.8773,4,NA,0.2267530560493,0.2050874382257,0.1366539001465,0.338517844677,0.2267530610164,4,NA,18.4834123222749,1,NA,29.9172959367134,3,NA,30.4458137006162,4,NA,31801,3,NA,7.76371308016878,4,NA,6.39810426540284,3,NA
53047940200,FALSE,0.983,0.9714,4,NA,0.1321125626564,0.1149718984962,0.0246768519282,0.256688952446,0.132112567623467,4,NA,24.7238742565845,2,NA,48.0926916221034,4,NA,46.9302809573361,4,NA,24587,4,NA,7.85824345146379,4,NA,2.46389124893798,2,NA
53047970301,FALSE,0.9259,0.8902,4,NA,0.1479929983616,0.1643999963999,0.0366259738803,0.242953017354,0.147992995878067,4,NA,27.364185110664,2,NA,40.1484689143211,3,NA,38.2413691354382,4,NA,24543,4,NA,3.37224383916991,2,NA,6.30449362843729,3,NA
53047970302,FALSE,0.5492,0.5246,3,NA,0.1258349269629,0.1289437562227,0.0328467153013,0.2157142907381,0.125834920754033,4,NA,28.9194915254237,2,NA,17.3416407061267,1,NA,37.4679651460789,4,NA,24196,4,NA,1.26939351198872,1,NA,0,1,NA
53047970303,FALSE,0.5238,0.4993,3,NA,0.1945723444223,0.1867192685604,0.0059171598405,0.3910806179047,0.194572348768533,4,NA,18.8638799571275,1,NA,19.0140845070423,2,NA,33.4102712060012,4,NA,22990,4,NA,3.63636363636364,2,NA,2.57234726688103,2,NA
53047970400,FALSE,0.9576,0.9148,4,NA,0.2115676552057,0.1567930430174,0.1492385864258,0.328671336174,0.211567655205733,4,NA,26.2379421221865,2,NA,32.9760923330585,3,NA,37.2346072186836,4,NA,24768,4,NA,4.55097087378641,3,NA,7.45980707395498,3,NA
53047970500,FALSE,0.8264,0.7633,4,NA,0.1458354592323,0.1219974681735,0.079015545547,0.2364933788776,0.145835464199367,4,NA,30.6,2,NA,37.8752886836028,3,NA,22.4489795918367,3,NA,26505,4,NA,6.03448275862069,3,NA,1.4,1,NA
53047970601,FALSE,0.9044,0.8771,4,NA,0.2956298291683,0.2401544451714,0.1427296996117,0.5040053129196,0.295629819234233,3,NA,32.3043790380474,3,NA,27.8940027894003,2,NA,35.3841946951053,4,NA,21669,4,NA,6.72478206724782,4,NA,4.091888011486,3,NA
53047970602,FALSE,0.8784,0.8564,4,NA,0.1859324425459,0.0666666701436,0.1216216236353,0.3695090413094,0.185932445029433,4,NA,24.0295748613678,1,NA,33.3518467092474,3,NA,33.1920903954802,4,NA,27352,4,NA,3.37078651685393,2,NA,12.0147874306839,4,NA
53047970700,FALSE,0.9248,0.8827,4,NA,0.1736652106047,0.1421282738447,0.1084558814764,0.270411491394,0.1736652155717,4,NA,37.041564792176,3,NA,48.8468515159368,4,NA,42.2948289169025,4,NA,31207,3,NA,0,1,NA,2.75061124694377,2,NA
53047970800,FALSE,0.9666,0.9349,4,NA,0.1273357570171,0.1250420212746,0.0823620855808,0.1746031790972,0.1273357619842,4,NA,28.2845668387837,2,NA,47.0659651962768,3,NA,29.5382794001579,4,NA,26280,4,NA,6.01023017902813,3,NA,2.69650028686173,2,NA
53047970900,FALSE,0.336,0.339,2,NA,0.4252415001392,0.6450363397598,0.2322738468647,0.3984142839909,0.425241490205133,2,NA,22.9665071770335,1,NA,27.7103718199609,2,NA,14.4080996884735,2,NA,33929,3,NA,4.99058380414313,3,NA,1.11642743221691,1,NA
53047971000,FALSE,0.7393,0.7023,3,NA,0.2675447463989,0.3099722266197,0.1808972507715,0.3117647171021,0.267544731497767,3,NA,33.9753879079722,3,NA,33.763074677694,3,NA,24.7695293546822,4,NA,28502,4,NA,11.5504682622268,4,NA,3.7988228999465,3,NA
53049950200,FALSE,0.8269,0.7743,4,NA,0.1872540265322,0.1391279399395,0.1806451678276,0.2419889569283,0.187254021565133,4,NA,18.8759278897137,1,NA,23.7931730963442,2,NA,20.1545530492899,3,NA,29139,4,NA,5.58163797600417,3,NA,12.6723223753977,4,NA
53049950301,FALSE,0.6199,0.6099,3,NA,0.2027805298567,0.209702655673,0.0982142910361,0.3004246354103,0.202780527373133,4,NA,23.989218328841,1,NA,18.6056458511548,2,NA,33.0885529157667,4,NA,23459,4,NA,4.36548223350254,3,NA,5.57053009883199,3,NA
53049950302,FALSE,0.8626,0.798,4,NA,0.1971499621868,0.1015843451023,0.2518518567085,0.2380136996508,0.197149967153867,4,NA,33.7037037037037,3,NA,20.2440775305097,2,NA,28.4217877094972,4,NA,23528,4,NA,7.59493670886076,4,NA,4.62962962962963,3,NA
53049950400,FALSE,0.3976,0.3632,2,NA,0.2285550832748,0.2044839560986,0.1450304239988,0.336150854826,0.2285550783078,4,NA,18.2123655913978,1,NA,7.8397212543554,1,NA,12.6016260162602,2,NA,29792,4,NA,3.875,2,NA,3.42741935483871,2,NA
53049950501,FALSE,0.565,0.5451,3,NA,0.314630895853,0.367924541235,0.2684563696384,0.3075117468834,0.314630885918933,3,NA,36.3751584283904,3,NA,18.7566988210075,2,NA,22.7417640807651,3,NA,29831,4,NA,2.29357798165138,1,NA,3.04182509505703,2,NA
53049950502,FALSE,0.7715,0.7297,4,NA,0.2089876979589,0.2115637362003,0.1197183132172,0.2956810593605,0.208987702926,4,NA,23.7163814180929,1,NA,40.7965554359526,3,NA,28.7117903930131,4,NA,25433,4,NA,0,1,NA,3.42298288508557,2,NA
53049950600,FALSE,0.7545,0.7099,4,NA,0.1310542225838,0.1207627132535,0.0465116277337,0.2258883267641,0.131054222583767,4,NA,39.646017699115,4,NA,39.1634980988593,3,NA,29.8098859315589,4,NA,22136,4,NA,0,1,NA,14.3362831858407,4,NA
53049950701,FALSE,0.6629,0.6059,3,NA,0.2522875070572,0.2185954451561,0.1298701316118,0.4083969593048,0.252287512024233,3,NA,26.9503546099291,2,NA,7.96847635726795,1,NA,24.9782419495213,4,NA,25341,4,NA,4.37956204379562,3,NA,4.78723404255319,3,NA
